,id,name,categories,lat,lng,postalCode
71,4c365e5b0a71c9b6a40a3dc9,The Famous Curry Bazaar,Indian Restaurant,51.52021776318675,-0.07185320841405797,E1 6QL
72,4b608cb3f964a5201bed29e3,Papadoms,Indian Restaurant,51.51951671373982,-0.07159006791171536,E1 6RL
73,4b47b070f964a520aa3a26e3,Curry Capital,Indian Restaurant,51.52418277978318,-0.07154819370839263,E1 6SA
74,4ac518ddf964a52066a920e3,Bolton's,Indian Restaurant,51.51210650073094,-0.08290341797279391,EC3M 7JJ
75,4b955bbdf964a520519e34e3,Saffron Restaurant,Indian Restaurant,51.518924999999996,-0.071766,E1 6PU
76,4ac518dcf964a52035a920e3,Kasturi Restaurant - Aldgate,Indian Restaurant,51.51423884818509,-0.07478084862462919,EC3N 1AL
77,4cb9f6d543ec6dcb9908a131,Barbican Express Global Food,Indian Restaurant,51.52277159024728,-0.09272116009302346,E c1y
78,4bcf603bb221c9b6f6e9d1d0,Spice Trader,Indian Restaurant,51.51103847345543,-0.08399595276101574,EC3M 8AA
79,4cb0aaa9aef16dcbd9ecb254,Hayfield Masala,Indian Restaurant,51.52104187708958,-0.04951382917629296,E1 4LJ
80,4be30e2f2ff376b0ab454fed,Lahore Two,Indian Restaurant,51.514299679623534,-0.05357827144702346,E1  2p
81,599430b1a6fe4d2ebed0bb25,The Wrap Guys,Indian Restaurant,51.522766424727436,-0.09276132437906594,EC1Y 8JL
82,4b54ce0df964a5203ccd27e3,Tiffinbites,Indian Restaurant,51.514460674367015,-0.09237793727504423,EC2V 7PG
83,59ec9efa112c6c3207d60f17,Wrapchic,Indian Restaurant,51.509722,-0.079925,EC3R 5AS
84,5351bbe9498e9d1f4effb885,Al-Ikhwan,Indian Restaurant,51.522164,-0.044616,
85,4eb3ef298b81a81f8fdfdec5,Mumbai Square,Indian Restaurant,51.51564252962187,-0.07593180097504235,E1 7AA
86,5b6d7bdefe63bd002c888c6f,Pali Kitchen,Indian Restaurant,51.512665,-0.093730465,E C4M
91,4cc891475c17b60cdf110405,Standard Tandoori,Indian Restaurant,51.53747899836356,-0.04459667494387482,
92,4e18b337d4c062b044eb0a80,Victoria Balti Tandoori,Indian Restaurant,51.53844989231713,-0.043582920470335816,E 9 7
93,4b993dd4f964a520d16c35e3,Zaffrani's,Indian Restaurant,51.53925523720228,-0.10120195226035689,N1 2BB
94,4c653793e0c4be9a4e798758,Delhi Grill,Indian Restaurant,51.53347641442077,-0.10925027894733465,N1 9EZ
95,4b6c6fe8f964a520173a2ce3,Indian Veg,Indian Restaurant,51.53338723228375,-0.11051611836539305,N1 9EX
96,4ace3fdbf964a52067cf20e3,Masala Zone,Indian Restaurant,51.53666912028257,-0.10348129528196912,N1 0NJ
97,4c30eba666e40f47ab42c48b,Spices Indian Restaurant,Indian Restaurant,51.533438266465815,-0.11015666614849157,N1 9EZ
98,4be452e42468c928119bfe42,The Cinnamon Tree,Indian Restaurant,51.52537574169658,-0.11006374049645953,EC1R 4QE
99,5899bffaf5957244a5e2af7a,Tikkarito,Indian Restaurant,51.52134497908307,-0.10992200849089043,
100,4b44abc5f964a52015f925e3,Salaam Namaste,Indian Restaurant,51.52356055282114,-0.11808565819184569,WC1N 3EF
101,57b76221498e1601d747b782,New Delis London,Indian Restaurant,51.521639,-0.113552,WC1X 8PG
102,5324c111498e9e3b33122e15,Memsaab,Indian Restaurant,51.546015,-0.112061,N7 8AU
103,4ffdd5a3e4b0346120e15f40,Indian Lounge,Indian Restaurant,51.53063237437664,-0.12223254971501643,WC1 X8PX
104,4acf870ff964a5204bd420e3,Taste Of India,Indian Restaurant,51.53994,-0.096957,N1 8LY
105,4b5a12ecf964a520a1ab28e3,Euro Tandoori,Indian Restaurant,51.530474196408704,-0.12146713008958122,WC1X 8PX
106,4b91660ff964a52043b933e3,Bombay Lounge,Indian Restaurant,51.531733,-0.111292,N1 9PT
107,50560983e4b0719d68a25ce1,Cafe Tiffin,Indian Restaurant,51.524704216388685,-0.10283183545781602,EC1V 0BN
108,4ac518e3f964a520a5aa20e3,Angel Curry Centre,Indian Restaurant,51.53343044746863,-0.11035998149485579,N1 9EZ
109,4ad0e5a9f964a520e0da20e3,Kings Cross Tandoori,Indian Restaurant,51.53065126830439,-0.12219920523819446,WC1X 8PX
110,4c1d4612eac020a1e7f747c2,Khas tandoori,Indian Restaurant,51.548217,-0.087439,N1 4QT
111,4bec5a66c43f2d7f8cc4dbd9,Gulshan,Indian Restaurant,51.525491620000004,-0.10993968333333333,
112,4ac518e2f964a52093aa20e3,Chutney Raj,Indian Restaurant,51.52432620431288,-0.11558943308436924,WC1X 8TU
113,58231ea2eb569a2f775eb256,Zabardast,Indian Restaurant,51.52188,-0.11253677,EC1R 5DD
114,5357f85b498ec6e73aae5b6d,Little India,Indian Restaurant,51.52439154341821,-0.11605976293031722,WC1X 8TU
115,4d83c01140a7a35df3d4fcbd,Seema Tandoori,Indian Restaurant,51.516883221521475,-0.10490471076223142,EC4A 4AN
116,4e35b5621f6e9e21ad5184bc,Standard Tandoori,Indian Restaurant,51.547881921643494,-0.10608549597929658,N7  8L
118,4b6de2eef964a520cd982ce3,Mango Indian,Indian Restaurant,51.50498618680578,-0.09277812914673945,SE1 9HR
119,523deff1498eea65e86e764a,Est. India,Indian Restaurant,51.503998783001855,-0.09521441727331392,SE1 1SG
120,4fd9d0f6e4b053a8d3d22f90,Indian City,Indian Restaurant,51.513860142357416,-0.10433147881697381,EC4V 6AA
121,4f36e716e4b0fc67a8b07d36,Shad Indian Restaurant,Indian Restaurant,51.50459129552639,-0.08278741146120876,SE1 2TH
122,4b326cd9f964a520630b25e3,Sagar,Indian Restaurant,51.512715587998116,-0.12063489846220839,WC2B 5JS
123,4c55da9072cf0f4752b5edd6,Chatkhara,Indian Restaurant,51.49288334517987,-0.09871762078900308,SE1 6SW
124,4ac518dff964a520f3a920e3,Tower Tandoori,Indian Restaurant,51.496118,-0.08253379999999999,SE1 4TP
126,51865084498e750990bec5ac,Horn OK Please,Indian Restaurant,51.50535760320381,-0.1163308389368467,SE1 8XX
127,4c1f4de6b4e62d7f2d65df93,Chilli Сhutney,Indian Restaurant,51.50308135342487,-0.1158647568350921,SE1 7NJ
128,4c10cf7ff1b6a59349667c27,Chillies Tandoori,Indian Restaurant,51.4986235009969,-0.10503716244488935,SE1 6HS
129,5b6b5530cabcff002c9b7dce,Gunpowder,Indian Restaurant,51.503572001238915,-0.07731240634141201,SE1 2RY
130,4acf8f47f964a5208dd420e3,India Club,Indian Restaurant,51.51162216145529,-0.11854926509938406,WC2R 1JA
131,4bb9acdbb35776b0d10fca01,Cafe Nawaz,Indian Restaurant,51.50222553763336,-0.08800884471235015,SE1 3SS
132,4d41f4311da9a09369345d3d,Simply Indian,Indian Restaurant,51.50053421145951,-0.09155464267339238,SE1 4LA
133,4cae3b30c5e6a1cd3037c3f6,Truly Indian Restaurant,Indian Restaurant,51.50399383652888,-0.0911369152466808,SE 1 9
134,4ee10fb530f810becb46b2cf,Indian Fusion,Indian Restaurant,51.503120564047784,-0.07690002590567042,SE1 2UP
135,4b9ff194f964a520764c37e3,Bengal Tiger,Indian Restaurant,51.51334938840261,-0.10205978566237309,EC4V 5EA
136,4b4db7fff964a5203fd626e3,Silka Restaurant,Indian Restaurant,51.50505974866809,-0.08992411289341273,SE1 1ZZ
137,5a900e10840fc26f249d33a6,Zabardast,Indian Restaurant,51.506492,-0.103502,SE1 8BU
138,4b6b2cf2f964a520a1f72be3,Thames Tandoori,Indian Restaurant,51.50394774265021,-0.11190870127239948,SE1 8UD
139,4b43b26df964a520bce625e3,Spice of India,Indian Restaurant,51.50287631640205,-0.1079175533398144,SE1 8LL
140,5c9d34acbed483002c096886,Baba G’s,Indian Restaurant,51.502773,-0.084048,SE1 3QU
141,50561728e4b07ab78dde6c24,Cafe Ishaq,Indian Restaurant,51.49720347080815,-0.11179503184681971,SE1 7BL
142,4e3aeae3a809ec554441994e,Anokha,Indian Restaurant,51.51293362734126,-0.10143404297220034,EC4V 5DR
143,591760f1da5ede1d81677df9,Baluchi,Indian Restaurant,51.50329,-0.0793146,SE1 2JR
144,4f5df37de4b0c5418cf96603,Shaheen Tandori,Indian Restaurant,51.5000815026761,-0.10749336218840776,SE1 8XH
145,574ea148498ef9f349577cc4,Zest,Indian Restaurant,51.513842,-0.110063,E C4Y
146,50c245ffe4b0572e5610b56d,Temple Bar Indian,Indian Restaurant,51.51464080810547,-0.10931599885225296,EC4A 2EJ
147,4eb841319adfc68713970302,Mumbai,Indian Restaurant,51.5002419700939,-0.07229531018017618,SE1 2BS
148,4b0296c3f964a520044922e3,The Southbank Tandoori Ltd,Indian Restaurant,51.50323402251272,-0.10674954828245664,SE1 8LF
149,4c4de055d667d13a5aab8d9f,Castle Tandoori,Indian Restaurant,51.49523385015194,-0.09947725952953308,SE1 6TE
152,5559def5498ebd33e55b3478,Chai Ki,Indian Restaurant,51.50592843163335,-0.017871582771979786,E14 5AR
153,4dd01553ae603b786d57e761,Laksha Bay,Indian Restaurant,51.5055643649476,-0.05812152236214512,E1W 2RW
154,4b81b17cf964a5203eb830e3,Bengal Quay,Indian Restaurant,51.500963031132486,-0.020389735909995564,E14 9XL
155,4d2b6cda467d6ea8eb31e095,Indiana,Indian Restaurant,51.51345629761564,-0.03313174912562354,E14 7PG
156,4bd353f9046076b083ce7571,Rajboy,Indian Restaurant,51.51278973331693,-0.040672566594653216,E14 7JD
157,4c34e65fa0ced13aa5f5186e,Lime Bar,Indian Restaurant,51.501272475047365,-0.025469972806906375,E14 8JZ
158,4c827c18d34ca143555b2c80,The Tale of India,Indian Restaurant,51.50959435162528,-0.025612032240132487,E14 8HN
159,4c93a82c58d4b60ca6532129,Spice Merchants,Indian Restaurant,51.5093068939089,-0.026907433323150057,E14 8AA
160,4d94c8c7078ef04dbff33278,Royal Spice,Indian Restaurant,51.512009088857646,-0.02842833257391605,
161,4c3a12b61e06d13a7ead7a3e,Aniseed,Indian Restaurant,51.501647390259954,-0.025763593116553952,E14 8JH
162,536561cf498ef8322d9bacb9,Spice Indian Restaurant,Indian Restaurant,51.501857767872764,-0.023509069297140237,
163,4bd9ed148668c9b6cb9ff209,Clifton,Indian Restaurant,51.49986105037598,-0.02570679793864081,E14 8LW
