,id,name,categories,lat,lng,postalCode,dist
1863,4babc6daf964a520a9c83ae3,Sinh Le,Chinese Restaurant,51.52047397511657,-0.053365923726155645,E1 4TP,0.664974977258614
1864,4ac518ddf964a52062a920e3,Imperial City Chinese Cuisine,Chinese Restaurant,51.51352199860021,-0.08730857258553874,EC3V 3LL,1.1316734855450254
1865,4eb315e1d3e3bcda5ae06e45,Ba Shu,Chinese Restaurant,51.525113,-0.071234,E2 6DG,0.3000867742612759
1866,4d02a7ffa26854814f0dadbd,Rainbow,Chinese Restaurant,51.50049336694828,-0.05233171617405936,,2.5358431673903614
1867,4b7015f5f964a52067062de3,Dim T,Chinese Restaurant,51.50514110882836,-0.07957145352988572,SE1 2DB,1.9482726622426547
1868,4bd5db276f649521a5d36fec,Tai Tip Mein,Chinese Restaurant,51.49370226550352,-0.10039275479832831,SE1 6TE,3.3554162044029545
1869,5a54b27775eee46709b07d29,Jiaba,Chinese Restaurant,51.519751,-0.075291,E1 6EW,0.3245852121019111
1870,4b2295d4f964a520894924e3,Culture Grub,Chinese Restaurant,51.50289163424314,-0.10792675121641587,SE1 8LW,2.5139956149380573
1871,4b71c8daf964a5203f5c2de3,Chinese Canteen,Chinese Restaurant,51.50059880013702,-0.10802000073416695,SE1 8UX,2.7402699292141395
1872,5cfa9e8f588e36002c6e5d33,Chew Fun,Chinese Restaurant,51.516866,-0.07552,E1 7LA,0.6350227209036061
1873,4d910eff033ba35d032c680d,Paolina Thai Cafe,Thai Restaurant,51.530659950963404,-0.11841853214092374,WC1X 9BZ,1.8573520789608378
1874,4eff5d3a4690f6ece9cc9c85,London Seed Centre,Japanese Restaurant,51.498380253733885,-0.11228001602655964,SE1 7BL,3.0276485658118633
1875,5b8e66f197cf5a002c07e715,Red Farm,Dim Sum Restaurant,51.51248085512774,-0.12166067589114667,WC2B 5HZ,2.051924872458851
1876,4b5203d0f964a520686127e3,Ping Pong,Dim Sum Restaurant,51.50824006394437,-0.07326239527954136,E1W 1BA,1.5840040730641565
1877,4c93ce3882b56dcbb527c9aa,Silver Star,Chinese Restaurant,51.53307306150535,-0.05721190459217146,E2 9BU,1.2873357852979581
1878,4bd0a57e046076b04a677071,Ming Pat,Chinese Restaurant,51.53149209044448,-0.08937993224047361,,1.1829705343204995
1879,4ba2757cf964a520cffa37e3,Ekachai,Malay Restaurant,51.51720222717432,-0.08260186453292352,EC2M 7PN,0.6955648750542566
1880,4b6c9439f964a5206f442ce3,Kung Food,Chinese Restaurant,51.52198271354147,-0.11077495172858051,EC1R 5DU,1.3515966893210052
1881,4c6579a10f880f470af8f9e6,Joy Po,Chinese Restaurant,51.537217054944016,-0.056990393418893774,,1.7255272064031417
1882,4c29de8d97d00f4703ff41ea,Mr Chan's,Chinese Restaurant,51.522641,-0.101768,EC1M 5RD,1.0404840429170092
1883,4b75c68cf964a520d6232ee3,Chan's Noodle bar,Chinese Restaurant,51.540244825248855,-0.05561425904713356,E8 3QE,2.0632143485603875
1884,4eef9c0746907303c176e761,Hung Tou,Chinese Restaurant,51.51299043058864,-0.041858209633573375,,1.4694004331599266
1885,5d5708d51a66620008f28f0a,Baozi Inn,Chinese Restaurant,51.50478,-0.09312764,SE1 9HP,2.104345663687675
1886,5b7bffb56fd626002ce493ba,Rice Guys,Chinese Restaurant,51.50537295741108,-0.0819886964443842,EC2M 2QS,1.9363417862371775
1887,4fa958ffe4b03965596adfaf,Yun Hai 雲海酒樓,Chinese Restaurant,51.50656369892557,-0.043369256994055895,SE16 5SW,2.019770674003644
1888,5caf2af9345cbe002c07b884,Mao Chow,Chinese Restaurant,51.53962,-0.056198,E8 3RH,1.9906509944239679
1889,4bdb4cd8c79cc928fa0f82e9,Double Happy,Chinese Restaurant,51.5009134238529,-0.09190026845627146,SE1 4LA,2.5005046061386893
1890,4ea2fb1cbe7ba4918e7bce54,Green Leaf,Chinese Restaurant,51.519951,-0.117368,WC1R 4PF,1.6019500021932893
1891,4c40b57ada3dc928c0c5c7b9,Kam Hon Chinese Take Away,Chinese Restaurant,51.526911520016355,-0.02992781997554591,E3 2da,1.5209535379591594
1892,4cc1e410bde8f04ddcdf9a4b,Wings Buffet,Chinese Restaurant,51.51180397870937,-0.027678215688336155,E14 6JJ,1.9226063064442938
1893,4b216741f964a520593b24e3,Kam Fung,Chinese Restaurant,51.519596009538596,-0.1171718651931687,WC1,1.6026231686196026
1894,4b3bce56f964a520907b25e3,Chinese Cricket Club,Chinese Restaurant,51.512122932157055,-0.10428988602956041,EC4V 6DB,1.6100358490406264
1895,4bf53406ed30b7134731f49a,Sams Chinese Express,Chinese Restaurant,51.51914572596501,-0.11702564723044746,WC1R 4PD,1.6083675185823805
1896,5698f64c498e6a3be418ab85,The Sichuan,Szechuan Restaurant,51.522159812186,-0.08702817994493915,EC1Y 2AA,0.5329309648152277
1897,4c1e3bd7b306c92851af66b7,Oriental Gourmet,Chinese Restaurant,51.548695,-0.107071,N7 8LT,3.1761700189082536
